app_id,title,release_date,genres,categories,developer_id,publisher_id,original_price
1566490,LONER,2021-04-03,"Adventure, Casual, Indie, Simulation","Single-player, Family Sharing, Profile Features Limited",12730,3602,"3,12"
1566670,Attack of the Karens,2023-09-25,"Action, Indie","Single-player, Steam Achievements, Captions available, Steam Cloud, Family Sharing, Profile Features Limited",20646,17059,15
1566700,VR Prison Escape,2021-05-19,"Action, Casual","Single-player, Tracked Controller Support, VR Only, Family Sharing, Profile Features Limited",23785,19661,"5,1"
1567440,inbento,2021-07-30,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",606,544,15
1568180,USA Truck Simulator,2021-03-25,"Adventure, Casual, Indie, Racing, Simulation","Single-player, Remote Play Together, Family Sharing, Profile Features Limited",1762,1447,"3,12"
1568190,Cat's Life Jigsaw Puzzles,2021-03-25,"Casual, Indie, Strategy","Single-player, Family Sharing, Profile Features Limited",3015,2479,"9,3"
1569170,A Way Back,2022-04-29,"Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",22000,12245,"3,12"
1569760,Lab BreakOut,2021-03-19,"Indie, Strategy","Single-player, Family Sharing, Profile Features Limited",16506,13621,"20,94"
1569970,Fireball Wizard,2023-06-20,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",8672,13618,"30,6"
1570070,Beholder 3,2022-03-03,"Adventure, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",15976,654,"48,6"
1570290,Hyper Dungeon Crawler,2021-07-31,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Family Sharing, Profile Features Limited",22178,18297,"20,7"
1570650,The Last Order: Dungeons,2021-04-16,"Action, Casual, Indie","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",7790,6388,"3,12"
1571070,Felix The Toy,2021-03-21,"Adventure, Casual, Indie","Single-player, Family Sharing, Profile Features Limited",24161,17775,"6,3"
1572120,Unblock Me Car,2021-03-24,"Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Remote Play on Phone, Family Sharing, Profile Features Limited",19081,15796,18
1572190,Hyposphere Z,2021-03-22,"Casual, Indie, Racing, Strategy","Single-player, Family Sharing, Profile Features Limited",5839,13621,"20,94"
1572420,Leenie Boog,2021-12-02,"Action, Adventure, Indie, Simulation","Single-player, Family Sharing",842,347,15
1572440,Bakery Shop Simulator,2021-04-20,"Indie, Simulation","Single-player, Family Sharing",5898,4808,"28,8"
1573130,VR Chinese Garden Tour (HD): Flying as a dragonfly,2021-03-23,Casual,"Single-player, Tracked Controller Support, VR Only, Family Sharing, Profile Features Limited",23785,19661,"7,5"
1573250,Allura: The Three Realms,2021-03-23,Casual,"Single-player, Family Sharing, Profile Features Limited",6503,7912,15
1573390,Lila’s Sky Ark,2022-04-21,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing",14141,7342,"48,48"
1573590,Colonize,2024-02-15,"Simulation, Strategy, Early Access","Single-player, Family Sharing",17900,3835,"67,74"
